Paper,Author,Title,Impact_variables,Year,Field,Empirical,Type,Method,Teaching_approach,Context
25,"Molderez, I., & Fonseca, E.",The efficacy of real-world experiences and service learning for fostering competences for sustainable development in higher education," degree of experience of real-life situations, degree of inter-/transdisciplinarity, degree of stakeholder integration, degree of student emotional involvement, degree of student collaboration /  group work",2009,Sustainability,Empirical,Effectiveness testing multiple courses,"Qualitative, Quantitative","Experiential education, Service learning",HEI
26,"Eilam, E., Trop, T.",ESD Pedagogy: A Guide for the Perplexed," degree of experience of real-life situations, degree of inter-/transdisciplinarity, degree of student emotional involvement",2019,Sustainability,Theoretical,Framework proposal,NA,Multiple,HEI
27,"Palmer, C.",TEACHING ENVIRONMENTAL ETHICS," degree of experience of real-life situations, degree of inter-/transdisciplinarity, degree of student emotional involvement",2020,Environmental education,Theoretical,Overview of multiple approaches,NA,Multiple,Multiple
28,"Erdogan, M., Tuncer, G.",Evaluation of a Course: “Education and Awareness for Sustainability”," degree of experience of real-life situations, degree of nature-related experiences",2007,Sustainability,Empirical,Effectiveness testing single course,"Qualitative, Quantitative",Case studies,HEI
29,"Baden D., Parkes C.",Experiential learning: inspiring the business leaders of tomorrow," degree of experience of real-life situations, degree of stakeholder integration, degree of integration between theory and practice",2005,"CSR, Ethics/Business Ethics, Sustainability",Empirical,Effectiveness testing multiple courses,Qualitative,Experiential education,HEI
30,"Setó-Pamies, Dolors & Papaoikonomou, Eleni","Sustainable Development Goals: A Powerful Framework for Embedding Ethics, CSR, and Sustainability in Management Education"," degree of experience of real-life situations, degree of stakeholder integration, degree of integration between theory and practice",1988,"CSR, Ethics/Business Ethics, Sustainability",Editorial,Analysis of (inter)national practices,NA,Multiple,HEI
31,"Caniglia, Guido; John, Beatrice; Kohler, Martin; Bellina, Leonie; Wiek, Arnim; Rojas, Christopher; Laubichler, Manfred D. and Lang, Daniel",An experience-based learning framework: Activities for the initial development of sustainability competencies," degree of experience of real-life situations, degree of student (self-)reflection",2015,Sustainability,"Empirical, Theoretical",Analytic description single course,Qualitative,Experiential education,HEI
32,"Deer, S., & Zarestky, J.",Balancing Profit and People: Corporate Social Responsibility in Business Education," degree of experience of real-life situations, degree of student (self-)reflection",2006,CSR,Empirical,Analytic description single course,Qualitative,Problem-based learning,HEI
33,"Hatziconstantis, Ch., Kolympari, T.","Student perceptions of Academic Service Learning: Using mixed content analysis to examine the effectiveness of the International Baccalaureate Creativity, Action, Service programme"," degree of experience of real-life situations, degree of student (self-)reflection",2013,University education in general,Empirical,Analytic description single course,Qualitative,Service learning,HEI
34,"Konrad, T., Wiek, A., & Barth, M.",Learning processes for interpersonal competence development in project-based sustainability courses – insights from a comparative international study," degree of experience of real-life situations, degree of student (self-)reflection",2021,Sustainability,Empirical,Effectiveness testing multiple courses,Qualitative,Project-based learning,HEI
35,"Jakubowski, L.M.",Beyond Book Learning: Cultivating the Pedagogy of Experience Through Field Trips," degree of experience of real-life situations, degree of student (self-)reflection, degree of integration between theory and practice, degree of stakeholder integration",2014,University education in general,Empirical,Analytic description single course,Qualitative,Service learning,HEI
36,"Tyran, K.L.",Transforming students into global citizens: International service learning and PRME," degree of experience of real-life situations, degree of student (self-)reflection, degree of student collaboration /  group work, degree of inter-/transdisciplinarity, degree of stakeholder integration",2015,University education in general,Empirical,Analytic description single course,Qualitative,Service learning,HEI
37,"Seel, N.M., Dijkstra, S.","CURRICULUM, PLANS, AND PROCESSES IN INSTRUCTIONAL DESIGN. International Perspectives"," degree of experience of real-life situations, degree of student (self-)reflection, degree of student collaboration /  group work, degree of student participation / activeness",2020,University education in general,Theoretical,Overview of multiple approaches,NA,Multiple,Multiple
38,"Westwood, P.S.",What teachers need to know about teaching methods," degree of experience of real-life situations, degree of student (self-)reflection, degree of student collaboration /  group work, degree of student participation / activeness",2020,University education in general,Theoretical,Overview of multiple approaches,NA,Multiple,Multiple
39,"Hoggan, C. D.",Transformative Learning as a Metatheory," degree of experience of real-life situations, degree of student (self-)reflection, degree of student participation / activeness",2019,Sustainability,Theoretical,Framework proposal,NA,Service learning,Unspecified
40,"Reames, T.G., Blackmar, J.M., Pierce, J.C.",Teaching the Three E’s of Sustainability Through Service-Learning in a Professional Program," degree of experience of real-life situations, degree of student (self-)reflection, degree of student participation / activeness",2015,University education in general,Empirical,Analysis of process of integrating ESD into education (single course),Qualitative,Transformative learning,HEI
41,"Pappas, I.O., Mora, S., Jaccheri, L., Mikalef, P.
",Empowering Social Innovators through Collaborative and Experiential Learning," degree of experience of real-life situations, degree of student collaboration /  group work",2015,University education in general,Empirical,Effectiveness testing single course,Qualitative,"Experiential education, Collaborative/peer learning",HEI
42,"Sulkowski, A.J., Kowalczyk, W., Ahrendsen, B.L., Kowalski, R. and Majewski, E.",Enhancing sustainability education through experiential learning of sustainability reporting," degree of experience of real-life situations, degree of student collaboration /  group work",2015,Sustainability,Empirical,Analytic description single course,Qualitative,Experiential education,HEI
43,"Kishita, Y., Uwasu, M., Hara, K. et al.",Toward designing sustainability education programs: a survey of master’s programs through semi-structured interviews.," degree of experience of real-life situations, degree of student collaboration /  group work, degree of inter-/transdisciplinarity, degree of stakeholder integration, degree of integration between theory and practice",2001,Sustainability,Empirical,Analytic description/comparison multiple courses,"Qualitative, Quantitative",Multiple,HEI
44,"Mulhearn, T.J., Steele, L.M., Watts, L.L., Medeiros, K.E., Mumford, M.D., Connelly, Sh.",Review of Instructional Approaches in Ethics Education," degree of experience of real-life situations, degree of student emotional involvement, degree of student (self-)reflection, degree of student participation / activeness",2009,Ethics/Business Ethics,Empirical,Effectiveness testing multiple courses,Quantitative,Multiple,Multiple
45,"Painter-Morland, M., Fontrodona, J., Hoffman W.M., Rowe, M.",Conversations across Continents: Teaching Business Ethics Online," degree of experience of real-life situations, degree of student emotional involvement, degree of student collaboration /  group work",2012,Ethics/Business Ethics,Empirical,Analytic description single course,Qualitative,"Lecture-based teaching, Discussion-based teaching",HEI
46,"Erskine, L., Johnson, S.D.",Effective Learning Approaches for Sustainability: A Student Perspective," degree of experience of real-life situations, degree of student participation / activeness",2011,Sustainability,Empirical,Evaluation of student preferences (single school),Quantitative,Multiple,HEI
47,"Allen, J.H., Lloyd-Pool, E., Sherman, J.",Pathways to Sustainability Careers: Building Capacity To Solve Complex Problems," degree of experience of real-life situations, degree of student participation / activeness, degree of integration between theory and practice",2010,Sustainability,Empirical,Analytic description/comparison multiple courses,Qualitative,"Project-based learning, Service learning",HEI
48,"Ofei-Manu, P., Didham, R.J.",Identifying the factors for Sustainability Learning Performance," degree of experience of real-life situations, degree of student participation / activeness, degree of stakeholder integration, degree of integration between theory and practice",2016,Sustainability,"Empirical, Theoretical",Framework proposal,Qualitative,Multiple,Multiple
49,"Barth, M., Adomßent, M., Fischer, D., Richter, S., & Rieckmann, M.",Learning to change universities from within: A service-learning perspective on promoting sustainable consumption in higher education," degree of experience of real-life situations, degree of student participation / activeness, degree of student (self-)reflection, degree of inter-/transdisciplinarity, degree of student emotional involvement",2016,Sustainability,"Empirical, Theoretical",Analysis of process of integrating ESD into education (multiple schools),Qualitative,Service learning,HEI
50,"Svanström, M., Lozano?García, F.J. and Rowe, D.",Learning outcomes for sustainable development in higher education," degree of experience of real-life situations, degree of student participation / activeness, degree of student collaboration /  group work, degree of inter-/transdisciplinarity, degree of student (self-)reflection, degree of integration between theory and practice",2004,Sustainability,Empirical,Analysis of (inter)national practices,Qualitative,"Active learning,Problem-based learning",HEI
51,"Arbuthnott, K.D.",Education for sustainable development beyond attitude change, degree of integration between theory and practice,2017,Sustainability,Literature Review,Overview of multiple approaches,NA,Multiple,Unspecified
52,"Chhokar, Kiran",Higher education and curriculum innovation for sustainable development in India, degree of integration between theory and practice,1998,Sustainability,Empirical,Analysis of (inter)national practices,Qualitative,Discussion-based teaching,HEI
53,"Hungerford, H. R., & Volk, T. L.",Changing Learner Behavior Through Environmental Education, degree of integration between theory and practice,2019,Sustainability,Theoretical,Framework proposal,NA,Multiple,Multiple
54,"Kyriakides, L., Christoforou, Ch., Charalambous, Ch.",What matters for student learning outcomes: A meta-analysis of studies exploring factors of effective teaching, degree of integration between theory and practice,2014,CSR,Empirical,Overview of multiple approaches,Meta-analysis,Lecture-based teaching,School
55,"Modebelu, M.N., Nwakpadolu, G.M.",Effective Teaching and Learning of Agricultural Science for Food Security and National Sustainability, degree of integration between theory and practice,2014,Sustainability,Empirical,Analysis of process of integrating ESD into education (countries/regions),Quantitative,Unspecified in the paper,School
56,"Ruiz-Palomino, P., Martínez-Cañas, R., Jiménez-Estévez, P.",Are Corporate Social Responsibility Courses Effective? A Longitudinal and Gender-Based Analysis in Undergraduate Students, degree of integration between theory and practice,2015,Sustainability,Empirical,Effectiveness testing single course,Quantitative,Multiple,HEI
57,"Segon, Michael & Booth, Chris",Business Ethics and CSR As Part Of MBA Curricula: An Analysis of Student Preference, degree of integration between theory and practice,2004,Environmental education,Empirical,Evaluation of student preferences (single school),Quantitative,Multiple,HEI
58,"Tang, K.H.D.",Correlation between sustainability education and engineering students’ attitudes towards sustainability, degree of integration between theory and practice,2015,University education in general,Empirical,Effectiveness testing single course,Quantitative,Multiple,HEI
59,"Farashahi, M., Tajeddin, M.","Effectiveness of teaching methods in business education: A comparison study on the learning outcomes of lectures, case studies and simulations"," degree of integration between theory and practice, degree of experience of real-life situations",2013,University education in general,Empirical,Effectiveness testing multiple methods/tools,Quantitative,"Gaming & Simulations, Case studies, Lecture-based teaching",HEI
60,"Weber, E.L.","Environmental Ethics, Sustainability and Education"," degree of integration between theory and practice, degree of inter-/transdisciplinarity, degree of nature-related experiences, degree of student emotional involvement",2020,"Environmental education, Sustainability",Theoretical,Overview of multiple approaches,NA,Multiple,Multiple
61,"Hopkinson, P. and James, P.","Practical pedagogy for embedding ESD in science, technology, engineering and mathematics curricula"," degree of integration between theory and practice, degree of inter-/transdisciplinarity, degree of student participation / activeness, degree of student collaboration /  group work, degree of student (self-)reflection",2016,Sustainability,Literature Review,Review of best practices (countries/regions),NA,"Student-centered learning,Collaborative/peer learning,Practical pedagogy",HEI
62,"Sidiropoulos, E.",The personal context of student learning for sustainability: Results of a multi-university research study," degree of integration between theory and practice, degree of student collaboration /  group work",2012,Sustainability,Empirical,Effectiveness testing multiple schools,Quantitative,Multiple,HEI
63,"Mention, A.-L., Nagel, A.P., Hafkesbrink, J., D?browska, J.",INNOVATION EDUCATION RELOADED: NURTURING SKILLS FOR THE FUTURE The Open Innovation Handbook," degree of integration between theory and practice, degree of student collaboration /  group work, degree of stakeholder integration, degree of student participation / activeness",2020,University education in general,Theoretical,Overview of multiple approaches,NA,Multiple,HEI
64,"García Peñalvo, F.J.",Advances in E-Learning: Experiences and Methodologies," degree of integration between theory and practice, degree of student collaboration /  group work, degree of student emotional involvement, degree of student participation / activeness, degree of student (self-)reflection",2019,University education in general,Theoretical,Overview of multiple approaches,NA,Multiple,Multiple
65,"Burga, Ruben; Leblanc, Joshua; Rezania, Davar","Analysing the effects of teaching approach on engagement, satisfaction and future time perspective among students in a course on CSR"," degree of integration between theory and practice, degree of student participation / activeness",2006,CSR,Empirical,Effectiveness testing single course,Quantitative,"Deep learning, Experiential education",HEI
66,"Swaim, J.A., Maloni, M.J., Napshin, S.A., Henley A.B.",Influences on Student Intention and Behavior Toward Environmental Sustainability," degree of integration between theory and practice, degree of student participation / activeness, degree of student collaboration /  group work",2010,Sustainability,Empirical,Effectiveness testing single school,Quantitative,Multiple,HEI
67,"Abdolmohammadi, M.J. & Reeves, M.F.",Effects of education and intervention on business students' ethical cognition: A cross sectional and longitudinal study, degree of inter-/transdisciplinarity,2005,Ethics/Business Ethics,Empirical,Effectiveness testing single course,Quantitative,"Lecture-based teaching,Case studies",HEI
68,"Alvargonzález, D.","Multidisciplinarity, Interdisciplinarity, Transdisciplinarity, and the Sciences", degree of inter-/transdisciplinarity,2019,University education in general,Theoretical,Overview of a single approach,NA,"Lecture-based teaching, Discussion-based teaching",Multiple
69,"Andersson, K.",Starting the pluralistic tradition of teaching? Effects of education for sustainable development (ESD) on pre-service teachers’ views on teaching about sustainable development, degree of inter-/transdisciplinarity,2013,University education in general,Empirical,Effectiveness testing single course,Quantitative,Multiple,HEI
70,"Annan-Diab, F., & Molinari, C.",Interdisciplinarity: Practical approach to advancing education for sustainability and for the Sustainable Development Goals, degree of inter-/transdisciplinarity,1990,Sustainability,Empirical,Analytic description single course,Qualitative,Multiple,HEI
71,"Boeve-de Pauw, J., Gericke, N., Olsson, D., Berglund, T.",The Effectiveness of Education for Sustainable Development, degree of inter-/transdisciplinarity,2013,University education in general,Empirical,Effectiveness testing multiple schools,Quantitative,Multiple,School
72,"Boix-Mansilla, V.",Learning to synthesize: The development of interdisciplinary understanding, degree of inter-/transdisciplinarity,2019,Sustainability,Theoretical,Framework proposal,NA,Multiple,Multiple
73,"Brito, R.M., Rodríguez, C., Aparicio, J.L.",Sustainability in Teaching: An Evaluation of University Teachers and Students, degree of inter-/transdisciplinarity,2013,Sustainability,Empirical,Evaluation of student preferences (multiple schools),Quantitative,Multiple,HEI
74,"Doh, J. P., & Tashman, P.","Half a World Away: The Integration and Assimilation of Corporate Social Responsibility, Sustainability, and Sustainable Development in Business School Curricula", degree of inter-/transdisciplinarity,2000,Sustainability,Empirical,Analysis of process of integrating ESD into education (single school),Quantitative,Multiple,HEI
75,"Fisher, P.B. and McAdams, E.",Gaps in sustainability education: The impact of higher education coursework on perceptions of sustainability, degree of inter-/transdisciplinarity,2007,University education in general,Empirical,Effectiveness testing single school,Quantitative,Unspecified in the paper,HEI
76,"Gillis, D., Nelson, J., Driscoll, B., Hodgins, K., Fraser, E., Jacobs, Sh.",Interdisciplinary and Transdisciplinary Research and Education in Canada: A Review and Suggested Framework, degree of inter-/transdisciplinarity,2013,Sustainability,Empirical,Analysis of process of integrating ESD into education (countries/regions),Quantitative,Multiple,HEI
77,"Hiller Connell
, K.Y., Remington, S.M., Armstrong, C.M.",Assessing Systems Thinking Skills in Two Undergraduate Sustainability Courses: A Comparison of Teaching Strategies, degree of inter-/transdisciplinarity,2014,Sustainability,Empirical,Effectiveness testing multiple courses,Quantitative,Multiple,HEI
78,"Kötter, R., Balsiger, Ph.W.",Interdisciplinarity and Transdisciplinarity: A Constant Challenge To The Sciences, degree of inter-/transdisciplinarity,2019,Sustainability,Theoretical,Framework proposal,NA,Multiple,Unspecified
79,"Marshall, J.A., Banner, J.L., Hye Sun You",Assessing the Effectiveness of Sustainability Learning, degree of inter-/transdisciplinarity,2014,Sustainability,Empirical,Effectiveness testing single course,Quantitative,Multiple,HEI
80,"Nicolescu, B.",Methodology of Transdisciplinarity, degree of inter-/transdisciplinarity,2020,University education in general,Theoretical,Framework proposal,NA,Multiple,Multiple
81,"Nicolescu, B., translated by K. Claire Voss",Manifesto of Transdisciplinarity, degree of inter-/transdisciplinarity,2020,University education in general,Theoretical,Framework proposal,NA,Multiple,Multiple
82,"Odac?o?lu, M.C., Köktürk, ?.",From Interdisciplinarity to Transdisciplinarity in Translation Studies in the Context of Technological Tools & Localization Industry, degree of inter-/transdisciplinarity,2020,University education in general,Theoretical,Framework proposal,NA,Multiple,HEI
83,"Summers, M., Childs, A., Corney, G.",Education for sustainable development in initial teacher training: issues for interdisciplinary collaboration, degree of inter-/transdisciplinarity,2015,Sustainability,Empirical,Effectiveness testing multiple schools,"Qualitative, Quantitative",Multiple,HEI
84,"Uitto, A., Saloranta, S.",Subject Teachers as Educators for Sustainability: A Survey Study., degree of inter-/transdisciplinarity,2015,Sustainability,Empirical,Analysis of process of integrating ESD into education (countries/regions),Quantitative,Multiple,School
85,"Zaman, Gh., Goschin, Z.","Multidisciplinarity, Interdisciplinarity and Transdisciplinarity: Theoretical Approaches and Implications for the Strategy of Post-Crisis Sustainable Development", degree of inter-/transdisciplinarity,2020,Sustainability,Theoretical,Framework proposal,NA,Unspecified in the paper,Unspecified
86,"Probst, L., Bardach, L., Kamusingize, D., Templer, N., Ogwali, H., Owamani, A., … Adugna, B. T.","A transformative university learning experience contributes to sustainability attitudes, skills and agency"," degree of inter-/transdisciplinarity, degree of experience of real-life situations",2012,Sustainability,Empirical,Effectiveness testing single course,Quantitative,Transformative learning,HEI
87,"Dyllick, T.",Responsible management education for a sustainable world," degree of inter-/transdisciplinarity, degree of experience of real-life situations, degree of student (self-)reflection, degree of integration between theory and practice",2017,CSR,Literature Review,Analysis of process of integrating ESD into education (countries/regions),NA,Multiple,HEI
88,"Martins, A.A., Mata, T.M. & Costa, C.A.V.",Education for sustainability: challenges and trends," degree of inter-/transdisciplinarity, degree of integration between theory and practice",2017,Sustainability,Literature Review,Analysis of process of integrating ESD into education (countries/regions),NA,Multiple,Multiple
89,"Laasch, O., Moosmayer, D., Antonacopoulou, E., Stefan Schaltegger, S.",Constellations of Transdisciplinary Practices: A Map and Research Agenda for the Responsible Management Learning Field," degree of inter-/transdisciplinarity, degree of integration between theory and practice, degree of student collaboration /  group work",2018,CSR,"Literature Review, Theoretical",Framework proposal,NA,Unspecified in the paper,HEI
90,"Agramont, A., Craps, M., Balderrama, M., Huysmans, M.",Transdisciplinary Learning Communities to Involve Vulnerable Social Groups in Solving Complex Water-Related Problems in Bolivia," degree of inter-/transdisciplinarity, degree of stakeholder integration",2019,Sustainability,Theoretical,Analysis of process of integrating ESD into education (countries/regions),NA,Collaborative/peer learning,Multiple
91,"Schneider, F., Rist, S.","Envisioning sustainable water futures in a transdisciplinary learning process: combining normative, explorative, and participatory scenario approaches"," degree of inter-/transdisciplinarity, degree of stakeholder integration",2015,Sustainability,Empirical,Effectiveness testing single method/tool,Qualitative,Collaborative/peer learning,Training
92,"Walker, J.B., Seymour, M.W.",Utilizing the design charrette for teaching sustainability," degree of inter-/transdisciplinarity, degree of stakeholder integration",2015,Sustainability,Empirical,Effectiveness testing single course,Quantitative,Deliberative approach,HEI
93,"Pearce B., Adler C., Senn L., Krütli P., Stauffacher M., Pohl C.",Making the Link Between Transdisciplinary Learning and Research," degree of inter-/transdisciplinarity, degree of stakeholder integration, degree of student (self-)reflection, degree of experience of real-life situations, degree of integration between theory and practice, degree of student collaboration /  group work, degree of student emotional involvement",2003,Sustainability,Empirical,Analytic description/comparison multiple courses,Qualitative,"Problem-based learning,Case studies,Experiential education",HEI
94,"Pacis, M., VanWynsberghe, R.","Key sustainability competencies for education for sustainability. Creating a living, learning and adaptive tool for widespread use"," degree of inter-/transdisciplinarity, degree of student (self-)reflection",2018,Sustainability,"Literature Review, Theoretical",Framework proposal,NA,Multiple,Multiple
95,"Pappas, E.",A New Systems Approach to Sustainability: University Responsibility for Teaching Sustainability in Contexts," degree of inter-/transdisciplinarity, degree of student (self-)reflection",2020,Sustainability,Theoretical,Framework proposal,NA,Multiple,HEI
96,"An?i?, D., Tatalovi? Vorkapi?, S.",Interdisciplinary Approaches to Sustainable Development in Higher Education: A Case Study from Croatia," degree of inter-/transdisciplinarity, degree of student (self-)reflection, degree of student collaboration /  group work",2010,Sustainability,Empirical,Effectiveness testing single course,Quantitative,"Lecture-based teaching, Collaborative/peer learning, Discussion-based teaching, Outdoor education",HEI
97,"Tejedor, G., Segalàs, J., Barrón, Á., Fernández-Morilla, M., Fuertes, M., Ruiz-Morales, J., Gutiérrez, I., et al.",Didactic Strategies to Promote Competencies in Sustainability," degree of inter-/transdisciplinarity, degree of student (self-)reflection, degree of student participation / activeness, degree of integration between theory and practice",2019,Sustainability,Theoretical,Framework proposal,NA,"Service learning, Problem-based learning, Project-based learning, Gaming & Simulations, Case studies",HEI
98,"BALSIGER, J.",Transdisciplinarity in the class room? Simulating the co-production of sustainability knowledge," degree of inter-/transdisciplinarity, degree of student collaboration /  group work, degree of stakeholder integration",2016,Sustainability,"Empirical, Theoretical",Effectiveness testing single course,"Qualitative, Quantitative",Role-play,HEI
99,"Moore, J.","Barriers and pathways to creating sustainability education programs: policy, rhetoric and reality"," degree of inter-/transdisciplinarity, degree of student collaboration /  group work, degree of student participation / activeness",2003,Sustainability,Empirical,Analysis of process of integrating ESD into education (single school),Qualitative,"Collaborative/peer learning,Transformative learning",HEI
100,"Martínez-Campillo, A., del Pilar Sierra-Fernández, M., Fernández-Santos, Y.",Service-Learning for Sustainability Entrepreneurship in Rural Areas: What Is Its Global Impact on Business University Students?," degree of inter-/transdisciplinarity, degree of student collaboration /  group work, degree of student participation / activeness, degree of integration between theory and practice",2011,Sustainability,Empirical,Effectiveness testing single course,Quantitative,Service learning,HEI
101,"Segalàs, J., Mulder, K.F., Ferrer-Balas, D.","What do EESD ""experts"" think sustainability is? Which pedagogy is suitable to learn it?: Results from interviews and Cmaps analysis gathered at EESD 2008"," degree of inter-/transdisciplinarity, degree of student participation / activeness, degree of integration between theory and practice",2015,Sustainability,Empirical,Analysis of student-related factors (countries/regions),"Qualitative, Quantitative",Multiple,HEI
102,"Cottafava, D.; Cavagliå, G.; Corazza, L.",Education of sustainable development goals through students' active engagement: A transformative learning experience," degree of inter-/transdisciplinarity, degree of student participation / activeness, degree of stakeholder integration, degree of integration between theory and practice",2006,Sustainability,Empirical,Analytic description single course,Qualitative,Transformative learning,HEI
